
Image Name                     PID Session Name        Session#    Mem Usage
HostAppServiceUpdater.exe    12268 Console                    1      2,680 K
ApplicationFrameHost.exe     10608 Console                    1     33,676 K
SystemSettings.exe            6528 Console                    1      2,680 K
svchost.exe                   4376 Services                   0      7,644 K
svchost.exe                  14248 Console                    1      9,492 K
UserOOBEBroker.exe           10784 Console                    1      9,644 K
svchost.exe                   3408 Services                   0     13,696 K
HxOutlook.exe                 6016 Console                    1      2,188 K
RuntimeBroker.exe             5628 Console                    1     15,868 K
HxTsr.exe                    12960 Console                    1     22,708 K
StorPSCTL.exe                12392 Console                    1      7,264 K
ACCStd.exe                    9480 Console                    1     20,992 K
WmiPrvSE.exe                 11296 Services                   0     27,892 K
LocationNotificationWindo     1312 Console                    1      6,352 K
svchost.exe                   8528 Services                   0      6,852 K
svchost.exe                  12276 Services                   0     12,296 K
ShellExperienceHost.exe       9616 Console                    1     71,296 K
RuntimeBroker.exe             6132 Console                    1     15,284 K
svchost.exe                   6308 Console                    1     11,528 K
jucheck.exe                   4984 Console                    1     18,824 K
smartscreen.exe              11672 Console                    1     10,180 K
SearchProtocolHost.exe        2068 Services                   0     12,964 K
SearchFilterHost.exe          1764 Services                   0      8,556 K
SearchFilterHost.exe         11088 Services                   0      8,788 K
svchost.exe                  11224 Services                   0     10,084 K
svchost.exe                   9748 Services                   0      8,244 K
dllhost.exe                   4696 Console                    1      7,536 K
audiodg.exe                   7244 Services                   0     16,884 K
postgres.exe                  7268 Services                   0     13,444 K
postgres.exe                  3796 Services                   0     13,272 K
postgres.exe                 10808 Services                   0     13,268 K
postgres.exe                 13976 Services                   0     13,616 K
py.exe                        3996 Console                    1      7,900 K
conhost.exe                   4500 Console                    1      8,132 K
OpenConsole.exe              12108 Console                    1     12,132 K
WindowsTerminal.exe           8284 Console                    1   1,25,276 K
RuntimeBroker.exe            11332 Console                    1     11,340 K
python.exe                   13784 Console                    1      9,640 K
cmd.exe                       9680 Console                    1      3,828 K
python.exe                    7536 Console                    1     11,496 K
cmd.exe                       8596 Console                    1      3,856 K
tasklist.exe                 13516 Console                    1      9,268 K
